Train_Number,Leg_OD,Leg_ID,Date,Total_Capacity,Total_Utilised,Occupancy,Total_Packs,Packs_Used,Unassigned_Containers,Unassigned_Length
4BM4,BFT-SFT,1,2025-01-01,1102.1568000000002,768.7056000000001,0.6974557522123893,18,12,0,0.0
4BM4,BFT-SFT,1,2025-01-08,1102.1568000000002,1063.7520000000002,0.9651548672566371,18,18,12,73.152
4BM4,BFT-SFT,1,2025-01-15,1102.1568000000002,1084.4784000000002,0.9839601769911505,18,18,35,249.936
4BM4,BFT-SFT,1,2025-01-22,1102.1568000000002,1085.6976000000002,0.985066371681416,18,18,20,121.92
4BM4,BFT-SFT,1,2025-01-29,1102.1568000000002,561.4416,0.5094026548672566,18,9,0,0.0
4BM4,BFT-SFT,1,2025-02-05,1102.1568000000002,1069.2384000000002,0.9701327433628318,18,18,29,237.744
4BM4,BFT-SFT,1,2025-02-12,1102.1568000000002,1055.2176000000002,0.9574115044247787,18,18,17,121.92
4BM4,BFT-SFT,1,2025-02-19,1102.1568000000002,1074.1152000000002,0.9745575221238938,18,18,25,201.168
4BM4,BFT-SFT,1,2025-02-26,1102.1568000000002,523.0368,0.4745575221238937,18,8,0,0.0
4BM4,BFT-SFT,1,2025-03-05,1102.1568000000002,893.0640000000002,0.8102876106194691,18,14,0,0.0
4BM4,BFT-SFT,1,2025-03-12,1102.1568000000002,997.9152000000003,0.9054203539823009,18,16,0,0.0
4BM4,BFT-SFT,1,2025-03-19,1102.1568000000002,1037.8440000000003,0.9416482300884956,18,18,0,0.0
4BM4,BFT-SFT,1,2025-03-26,1102.1568000000002,993.6480000000003,0.9015486725663717,18,16,0,0.0
4BM4,BFT-SFT,1,2025-04-02,1102.1568000000002,705.6120000000001,0.6402101769911503,18,11,0,0.0
4BM4,BFT-SFT,1,2025-04-09,1102.1568000000002,1073.5056000000002,0.974004424778761,18,18,26,176.78400000000002
4BM4,BFT-SFT,1,2025-04-16,1102.1568000000002,1054.3032000000003,0.9565818584070798,18,18,19,115.82400000000001
4BM4,BFT-SFT,1,2025-04-23,1102.1568000000002,1061.6184000000003,0.9632190265486726,18,18,19,115.82400000000001
4BM4,BFT-SFT,1,2025-04-30,1102.1568000000002,467.56319999999994,0.424225663716814,18,7,0,0.0
4BM4,BFT-SFT,1,2025-05-07,1102.1568000000002,1061.6184000000003,0.9632190265486726,18,18,15,91.44
4BM4,BFT-SFT,1,2025-05-14,1102.1568000000002,1052.1696000000002,0.9546460176991151,18,18,11,67.056
4BM4,BFT-SFT,1,2025-05-21,1102.1568000000002,1056.4368000000002,0.9585176991150443,18,18,4,24.384
4BM4,BFT-SFT,1,2025-05-28,1102.1568000000002,1038.1488000000002,0.941924778761062,18,18,11,67.056
4BM4,BFT-SFT,1,2025-06-04,1102.1568000000002,970.7880000000002,0.8808075221238939,18,15,0,0.0
4BM4,BFT-SFT,1,2025-06-11,1102.1568000000002,1033.5768000000003,0.9377765486725664,18,18,15,91.44
4BM4,BFT-SFT,1,2025-06-18,1102.1568000000002,1027.7856000000002,0.9325221238938053,18,18,9,54.864000000000004
4BM4,BFT-SFT,1,2025-06-25,1102.1568000000002,1020.7752000000003,0.9261615044247788,18,18,7,42.672000000000004
4BM4,BFT-SFT,1,2025-07-02,1102.1568000000002,649.5288,0.5893252212389379,18,11,0,0.0
4BM4,BFT-SFT,1,2025-07-09,1102.1568000000002,969.2640000000002,0.879424778761062,18,16,0,0.0
4BM4,BFT-SFT,1,2025-07-16,1102.1568000000002,930.5544000000002,0.8443030973451328,18,16,0,0.0
4BM4,BFT-SFT,1,2025-07-23,1102.1568000000002,1044.5496000000003,0.9477323008849559,18,18,4,24.384
4BM4,BFT-SFT,1,2025-07-30,1102.1568000000002,497.4335999999999,0.4513274336283184,18,8,0,0.0
4BM4,BFT-SFT,1,2025-08-06,1102.1568000000002,1058.8752000000002,0.9607300884955752,18,18,27,176.78400000000002
4BM4,BFT-SFT,1,2025-08-13,1102.1568000000002,786.9936000000001,0.7140486725663716,18,12,0,0.0
4BM4,BFT-SFT,1,2025-08-20,1102.1568000000002,1058.2656000000002,0.9601769911504424,18,18,16,97.536
4BM4,BFT-SFT,1,2025-08-27,1102.1568000000002,1072.2864000000002,0.9728982300884955,18,18,17,109.72800000000001
4BM4,BFT-SFT,1,2025-09-03,1102.1568000000002,1072.8960000000002,0.9734513274336283,18,18,18,140.208
4BM4,BFT-SFT,1,2025-09-10,1102.1568000000002,1062.8376000000003,0.9643252212389382,18,18,7,42.672000000000004
4BM4,BFT-SFT,1,2025-09-17,1102.1568000000002,1029.3096000000003,0.9339048672566372,18,18,2,36.576
4BM4,BFT-SFT,1,2025-09-24,1102.1568000000002,1071.6768000000002,0.9723451327433629,18,18,24,167.64000000000001
4BM4,BFT-SFT,1,2025-10-01,1102.1568000000002,992.4288000000003,0.9004424778761062,18,18,4,73.152
4BM4,BFT-SFT,1,2025-10-08,1102.1568000000002,1102.1568000000002,1.0,18,18,98,942.1368
4BM4,BFT-SFT,1,2025-10-15,1102.1568000000002,805.5864000000001,0.7309181415929203,18,12,0,0.0
4BM4,BFT-SFT,1,2025-10-22,1102.1568000000002,811.3776000000001,0.7361725663716814,18,14,0,0.0
4BM4,BFT-SFT,1,2025-10-29,1102.1568000000002,824.7888000000002,0.7483407079646017,18,14,0,0.0
4BM4,BFT-SFT,1,2025-11-05,1102.1568000000002,1068.6288000000002,0.9695796460176991,18,18,17,134.112
4BM4,BFT-SFT,1,2025-11-12,1102.1568000000002,1060.7040000000002,0.9623893805309734,18,18,22,170.68800000000002
4BM4,BFT-SFT,1,2025-11-19,1102.1568000000002,1071.0672000000002,0.9717920353982301,18,18,16,97.536
4BM4,BFT-SFT,1,2025-11-26,1102.1568000000002,1077.1632000000002,0.9773230088495575,18,18,23,195.072
4BM4,BFT-SFT,1,2025-12-03,1102.1568000000002,1091.7936000000002,0.9905973451327433,18,18,40,341.37600000000003
4BM4,BFT-SFT,1,2025-12-10,1102.1568000000002,1090.2696000000003,0.9892146017699116,18,18,28,207.264
4BM4,BFT-SFT,1,2025-12-17,1102.1568000000002,1082.0400000000002,0.9817477876106194,18,18,24,146.304
4BM4,BFT-SFT,1,2025-12-24,1102.1568000000002,1093.0128000000002,0.9917035398230089,18,18,33,295.9608
4BM4,BFT-SFT,1,2025-12-31,1102.1568000000002,1084.1736000000003,0.9836836283185841,18,18,21,158.496
4BM4,SFT-MFT,2,2025-01-01,1102.1568000000002,768.7056000000001,0.6974557522123893,18,12,0,0.0
4BM4,SFT-MFT,2,2025-01-08,1102.1568000000002,1063.7520000000002,0.9651548672566371,18,18,12,73.152
4BM4,SFT-MFT,2,2025-01-15,1102.1568000000002,1084.4784000000002,0.9839601769911505,18,18,35,249.936
4BM4,SFT-MFT,2,2025-01-22,1102.1568000000002,1085.6976000000002,0.985066371681416,18,18,20,121.92
4BM4,SFT-MFT,2,2025-01-29,1102.1568000000002,561.4416,0.5094026548672566,18,9,0,0.0
4BM4,SFT-MFT,2,2025-02-05,1102.1568000000002,1069.2384000000002,0.9701327433628318,18,18,29,237.744
4BM4,SFT-MFT,2,2025-02-12,1102.1568000000002,1055.2176000000002,0.9574115044247787,18,18,17,121.92
4BM4,SFT-MFT,2,2025-02-19,1102.1568000000002,1074.1152000000002,0.9745575221238938,18,18,25,201.168
4BM4,SFT-MFT,2,2025-02-26,1102.1568000000002,523.0368,0.4745575221238937,18,8,0,0.0
4BM4,SFT-MFT,2,2025-03-05,1102.1568000000002,893.0640000000002,0.8102876106194691,18,14,0,0.0
4BM4,SFT-MFT,2,2025-03-12,1102.1568000000002,997.9152000000003,0.9054203539823009,18,16,0,0.0
4BM4,SFT-MFT,2,2025-03-19,1102.1568000000002,1037.8440000000003,0.9416482300884956,18,18,0,0.0
4BM4,SFT-MFT,2,2025-03-26,1102.1568000000002,993.6480000000003,0.9015486725663717,18,16,0,0.0
