Container_Type,Train_Number,Leg_ID,Date,Num_Containers
40,7BM4,1,2025-07-12,15
40,7BM4,1,2025-10-11,353
40,7BM4,1,2025-12-13,8
40,7BM4,1,2025-12-20,14
40,7BM4,1,2025-12-27,6
40,7BM4,2,2025-01-18,39
40,7BM4,2,2025-01-25,10
40,7BM4,2,2025-07-12,15
40,7BM4,2,2025-10-11,353
40,7BM4,2,2025-12-13,8
40,7BM4,2,2025-12-20,14
40,7BM4,2,2025-12-27,6
40,7BM4,3,2025-01-18,39
40,7BM4,3,2025-01-25,10
40,7BM4,3,2025-07-12,15
40,7BM4,3,2025-10-11,353
40,7BM4,3,2025-12-13,8
40,7BM4,3,2025-12-20,14
40,7BM4,3,2025-12-27,6
40,7MB4,1,2025-01-18,22
40,7MB4,1,2025-01-25,29
40,7MB4,1,2025-02-15,8
40,7MB4,1,2025-02-22,24
40,7MB4,1,2025-04-12,20
40,7MB4,1,2025-04-19,29
40,7MB4,1,2025-05-17,3
40,7MB4,1,2025-06-28,10
40,7MB4,1,2025-07-26,20
40,7MB4,1,2025-08-23,17
40,7MB4,1,2025-08-30,7
40,7MB4,1,2025-09-13,9
40,7MB4,1,2025-09-27,47
40,7MB4,1,2025-10-11,2
40,7MB4,1,2025-11-15,19
40,7MB4,1,2025-11-29,27
40,7MB4,1,2025-12-13,20
40,7MB4,1,2025-12-20,25
40,7MB4,1,2025-12-27,20
40,7MB4,2,2025-01-18,16
40,7MB4,2,2025-01-25,29
40,7MB4,2,2025-02-22,24
40,7MB4,2,2025-04-12,12
40,7MB4,2,2025-04-19,29
40,7MB4,2,2025-06-28,2
40,7MB4,2,2025-07-26,12
40,7MB4,2,2025-08-23,9
40,7MB4,2,2025-09-13,1
40,7MB4,2,2025-09-27,39
40,7MB4,2,2025-11-15,19
40,7MB4,2,2025-11-29,25
40,7MB4,2,2025-12-13,20
40,7MB4,2,2025-12-20,23
40,7MB4,2,2025-12-27,18
40,7MB4,3,2025-01-18,22
40,7MB4,3,2025-01-25,29
40,7MB4,3,2025-02-15,8
40,7MB4,3,2025-02-22,24
40,7MB4,3,2025-04-12,20
40,7MB4,3,2025-04-19,29
40,7MB4,3,2025-05-17,3
40,7MB4,3,2025-06-28,10
40,7MB4,3,2025-07-26,20
40,7MB4,3,2025-08-23,17
40,7MB4,3,2025-08-30,7
40,7MB4,3,2025-09-13,9
40,7MB4,3,2025-09-27,47
40,7MB4,3,2025-10-11,2
40,7MB4,3,2025-11-15,19
40,7MB4,3,2025-11-29,27
40,7MB4,3,2025-12-13,20
40,7MB4,3,2025-12-20,25
40,7MB4,3,2025-12-27,20
42,2BM4,1,2025-04-21,4
42,2BM4,1,2025-05-12,2
42,2BM4,2,2025-04-21,4
42,2BM4,2,2025-05-12,2
42,2MB4,1,2025-10-06,4
42,2MB4,2,2025-10-06,4
42,3BM4,1,2025-10-07,2
42,3BM4,1,2025-12-30,2
42,3BM4,2,2025-10-07,2
42,3BM4,2,2025-12-30,2
42,3BM4,3,2025-10-07,2
42,3BM4,3,2025-12-30,2
42,3MB4,1,2025-01-21,1
42,3MB4,1,2025-10-07,1
42,3MB4,1,2025-12-16,2
42,3MB4,2,2025-01-21,1
42,3MB4,2,2025-10-07,1
42,3MB4,2,2025-12-16,2
42,3MB5,1,2025-03-25,1
42,3MB5,2,2025-03-25,1
42,3MB5,3,2025-02-11,2
42,3MB5,3,2025-03-18,2
42,3MB5,3,2025-03-25,1
42,4BM4,1,2025-10-08,5
42,4BM4,1,2025-12-24,3
42,4BM4,2,2025-10-08,5
42,4BM4,2,2025-12-24,3
42,4MB4,1,2025-04-16,3
42,4MB4,1,2025-12-10,3
42,4MB4,1,2025-12-24,2
42,4MB4,2,2025-04-16,3
42,4MB4,2,2025-12-10,3
42,4MB4,2,2025-12-24,2
42,5BM4,1,2025-12-18,2
42,5BM4,2,2025-12-18,2
42,6BM4,1,2025-01-17,2
42,6BM4,1,2025-01-24,3
42,6BM4,1,2025-01-31,1
42,6BM4,1,2025-02-14,3
42,6BM4,1,2025-02-21,2
42,6BM4,1,2025-02-28,3
42,6BM4,1,2025-03-07,2
42,6BM4,1,2025-04-11,3
42,6BM4,1,2025-05-16,3
42,6BM4,1,2025-05-23,2
42,6BM4,1,2025-05-30,2
42,6BM4,1,2025-06-27,1
42,6BM4,1,2025-07-25,5
42,6BM4,1,2025-08-22,4
42,6BM4,1,2025-08-29,4
42,6BM4,1,2025-09-12,2
42,6BM4,1,2025-09-26,1
42,6BM4,1,2025-10-10,3
42,6BM4,1,2025-10-17,1
42,6BM4,1,2025-10-24,3
42,6BM4,1,2025-11-14,2
42,6BM4,1,2025-11-28,2
42,6BM4,1,2025-12-12,3
42,6BM4,1,2025-12-19,3
42,6BM4,1,2025-12-26,2
42,6BM4,2,2025-01-17,2
42,6BM4,2,2025-01-24,3
42,6BM4,2,2025-01-31,1
42,6BM4,2,2025-02-14,3
42,6BM4,2,2025-02-21,2
42,6BM4,2,2025-02-28,3
42,6BM4,2,2025-03-07,2
42,6BM4,2,2025-04-11,3
42,6BM4,2,2025-05-16,3
42,6BM4,2,2025-05-23,2
42,6BM4,2,2025-05-30,2
42,6BM4,2,2025-06-27,1
42,6BM4,2,2025-07-25,5
